TotalSteps,TotalDistance,VeryActiveMinutes,Calories
6544,4.409999847,4,2069
0,0,0,0
0,0,0,1878
0,0,0,1878
0,0,0,1878
0,0,0,1878
0,0,0,1878
0,0,0,1878
0,0,0,1878
0,0,0,1296
2303,1.549999952,0,2010
2600,1.74000001,0,2032
4804,3.220000029,0,2227
3271,2.190000057,0,2133
5406,3.630000114,0,2317
3146,2.109999895,0,2058
2422,1.629999995,0,1935
4239,2.839999914,1,2217
6911,4.78000021,28,2374
6667,4.610000134,24,2335
5543,3.720000029,0,2303
4195,2.809999943,0,2210
6625,4.449999809,0,2424
5986,4.130000114,23,2297
278,0.1899999976,0,745
5336,3.529999971,0,1902
3183,2.099999905,0,1680
6176,4.079999924,1,1901
8205,5.420000076,0,2078
6799,4.489999771,24,1876
5668,3.75,0,1853
7998,5.289999962,27,2235
4195,2.769999981,0,1778
5512,3.640000105,0,1882
6263,4.139999866,0,1906
8828,5.840000153,0,2149
1260,0.8299999833,0,722
6506,5.28000021,4,2886
7583,6.150000095,3,2915
6963,5.650000095,0,2895
7165,5.809999943,0,2923
10328,8.380000114,0,3323
12116,9.829999924,3,3357
7810,6.360000134,6,2931
6670,5.409999847,15,2848
7605,6.179999828,4,2943
6585,5.340000153,0,2822
8184,6.639999866,0,2981
14002,11.35999966,8,3597
11135,9.029999733,1,3224
6499,5.269999981,0,2677
0,0,0,0
12409,8.100000381,51,2142
2937,1.919999957,0,1615
1515,0.9900000095,0,1481
8921,5.880000114,27,1892
11306,7.380000114,40,2086
12252,8,33,2044
15444,10.07999992,51,2249
9938,6.489999771,38,2019
4599,3,0,1692
5594,3.650000095,4,1712
11906,7.769999981,32,2065
3436,2.24000001,7,633
10461,7.869999886,99,3625
14873,11.10999966,202,4430
9917,7.409999847,58,3427
7401,5.559999943,70,3492
8964,6.699999809,107,3597
11080,8.300000191,83,3765
4499,3.359999895,31,2775
4363,3.25999999,8,2486
10494,7.840000153,123,3817
9776,7.380000114,80,3378
2862,2.140000105,39,1511
7444,5.619999886,0,2210
19658,14.84000015,3,2884
0,0,0,1496
8468,6.389999866,2,2262
9910,7.480000019,0,2445
12409,9.369999886,0,2694
4853,3.660000086,0,1903
8955,6.760000229,0,2482
10789,8.149999619,0,2617
0,0,0,0
6633,5.010000229,0,2778
9548,7.21999979,25,3119
0,0,33,2664
0,0,0,2060
0,0,0,2060
0,0,0,2060
0,0,0,2060
0,0,0,2060
0,0,0,2060
0,0,20,735
0,0,0,1820
2101,2.029999971,46,2224
0,0,0,1820
0,0,0,1820
9766,7.510000229,0,2442
165,0.1299999952,0,1849
0,0,0,1822
0,0,0,1820
0,0,0,251
7225,5.179999828,25,3065
1988,1.429999948,0,2207
1577,1.129999995,1,1977
0,0,0,1841
9348,6.699999809,56,4286
11761,8.430000305,24,3920
13987,10.02999973,46,3856
4131,2.960000038,27,2584
14,0.009999999776,0,787
15491,10.23999977,18,2244
14097,9.319999695,50,2188
10467,6.980000019,9,2014
12437,8.300000191,50,2115
12307,8.140000343,14,2055
18952,12.80000019,73,2437
12010,7.940000057,38,2158
12480,8.859999657,55,2170
13417,9.649999619,45,2244
14400,10.88000011,27,2188
12495,8.260000229,33,2231
10148,6.710000038,19,2100
12362,9.090000153,21,2188
5893,3.900000095,43,917
11680,9.06000042,50,2573
10976,7.340000153,9,2575
16806,11.23999977,104,3086
15266,11.39999962,70,2886
12084,9.140000343,50,2676
13513,10.25,64,2811
14100,10.57999992,61,2840
12627,9.649999619,54,2871
10345,6.920000076,2,2613
10146,6.789999962,1,2700
12168,8.140000343,18,2871
7413,5.769999981,53,1023
11463,7.670000076,38,2496
87,0.01999999955,0,1641
1949,1.309999943,3,1794
6101,3.869999886,31,2421
7478,4.989999771,25,2439
7352,4.730000019,19,2233
14604,10.81999969,76,2862
9634,6.519999981,50,2752
7338,4.670000076,27,2519
569,0.349999994,0,1799
6242,3.920000076,46,2543
430,0.2599999905,0,625
20188,15.61999989,124,3377
25701,20.13999939,165,3697
17395,13.21000004,100,3209
17167,13.40999985,98,3167
16435,12.42000008,100,3122
17078,13.19999981,101,3176
11693,9.539999962,60,2790
11159,9.140000343,59,2715
10118,7.730000019,30,2684
16064,12.72000027,96,3097
290,0.2099999934,0,791
0,0,0,1429
0,0,0,1429
0,0,0,1429
0,0,0,1429
0,0,0,1429
1931,1.279999971,0,1607
5181,3.420000076,15,1776
12026,9.149999619,47,2162
5360,3.539999962,8,1832
2545,1.679999948,0,1657
1636,1.080000043,0,1377
0,0,0,0
14179,11.23999977,73,3669
3358,2.660000086,0,2702
9152,7.260000229,25,3304
13935,11.05000019,105,4234
12846,10.18999958,113,4128
9124,7.239999771,55,3798
9725,7.710000038,83,3839
8350,6.619999886,72,3713
2240,1.779999971,0,2606
2631,2.089999914,0,2624
8837,7.010000229,74,3775
3246,2.569999933,65,1882
2174,1.700000048,0,2360
3494,2.730000019,0,2517
2380,1.860000014,0,2400
3159,2.460000038,0,2462
6835,5.329999924,5,2786
2098,1.639999986,0,2354
2816,2.200000048,0,2437
1408,1.100000024,0,1814
4592,2.940000057,4,2260
8452,5.409999847,9,3004
7238,4.630000114,2,2667
3821,2.450000048,0,2229
2332,1.49000001,1,2100
2121,1.360000014,0,2114
1291,0.8299999833,0,1961
1467,0.9399999976,2,1953
1022,0.6499999762,0,1890
4605,2.950000048,0,2253
178,0.1099999994,0,1725
20,0.009999999776,0,728
18700,15.81999969,67,3527
27572,23.38999939,116,4220
15260,8.18999958,106,3864
20779,18.40999985,78,3662
10695,8.119999886,10,2834
24136,20.90999985,87,4039
10910,8.420000076,32,2947
23014,20.38999939,70,4196
16470,8.069999695,90,3841
28497,27.53000069,128,4526
10622,8.06000042,18,2820
2350,1.779999971,0,938
13162,8.5,25,1985
10735,6.96999979,21,1797
10460,6.739999771,30,1776
9762,6.28000021,29,1745
12669,8.159999847,36,1863
9705,6.480000019,38,1728
13019,8.590000153,42,1921
15506,9.880000114,50,2035
10544,6.679999828,28,1786
9819,6.340000153,19,1775
12764,8.130000114,66,1827
14371,9.039999962,41,1949
10039,6.409999847,39,1788
15355,9.800000191,73,2013
13755,8.789999962,31,1970
18134,12.21000004,78,2159
13154,8.529999733,48,1898
11181,7.150000095,16,1837
14673,9.25,52,1947
10602,6.809999943,33,1820
14727,9.710000038,41,2004
15103,9.659999847,50,1990
11100,7.150000095,36,1819
14070,8.899999619,45,1959
12159,8.029999733,24,1896
11992,7.710000038,37,1821
10060,6.579999924,44,1740
12022,7.71999979,46,1819
12207,7.769999981,46,1859
12770,8.130000114,36,1783
0,0,0,0
8163,5.309999943,0,1432
7007,4.550000191,0,1411
9107,5.920000076,0,1572
1510,0.9800000191,0,1344
5370,3.49000001,0,1463
6175,4.059999943,15,1554
10536,7.409999847,17,1604
2916,1.899999976,0,1435
4974,3.230000019,0,1446
6349,4.130000114,0,1467
4026,2.619999886,0,1470
8538,5.550000191,0,1562
6076,3.950000048,16,1617
6497,4.21999979,0,1492
2826,1.840000033,0,1402
8367,5.440000057,17,1670
2759,1.789999962,0,1401
2390,1.549999952,0,1404
6474,4.300000191,11,1655
7155,4.929999828,7,1497
2100,1.370000005,0,1334
2193,1.429999948,0,1368
2470,1.610000014,0,1370
1727,1.120000005,0,1341
2104,1.370000005,0,1474
3427,2.230000019,0,1427
1732,1.129999995,0,1328
2969,1.929999948,0,1393
3134,2.039999962,0,1359
2971,1.929999948,0,1002
10694,7.769999981,2,3199
8001,5.820000172,30,2902
11037,8.020000458,5,3226
5263,3.829999924,3,2750
15300,11.11999989,51,3493
8757,6.369999886,29,3011
7132,5.190000057,15,2806
11256,8.180000305,5,3300
2436,1.769999981,0,2430
1223,0.8899999857,0,2140
3673,2.670000076,0,2344
6637,4.829999924,0,2677
3321,2.410000086,0,2413
3580,2.599999905,8,2497
9919,7.210000038,11,3123
3032,2.200000048,0,2489
9405,6.840000153,3,3108
3176,2.309999943,0,2498
18213,13.23999977,9,3846
6132,4.460000038,3,2696
3758,2.730000019,1,2580
12850,9.340000153,10,3324
2309,1.679999948,0,2222
4363,3.190000057,6,2463
9787,7.119999886,11,3328
13372,9.720000267,41,3404
6724,4.889999866,0,2987
6643,4.829999924,32,3008
9167,6.659999847,12,2799
1329,0.9700000286,0,1276
6697,4.429999828,0,2030
4929,3.25999999,0,1860
7937,5.25,0,2130
3844,2.539999962,0,1725
3414,2.25999999,0,1657
4525,2.99000001,2,1793
4597,3.039999962,0,1814
197,0.1299999952,0,1366
8,0.009999999776,0,1349
8054,5.320000172,2,2062
5372,3.549999952,0,1827
3570,2.359999895,0,1645
0,0,0,1347
0,0,0,1347
0,0,0,1347
4,0,0,1348
6907,4.570000172,0,1992
4920,3.25,0,1856
4014,2.670000076,0,1763
2573,1.700000048,0,1541
0,0,0,1348
4059,2.680000067,0,1742
2080,1.370000005,0,1549
2237,1.480000019,0,1589
44,0.02999999933,0,1351
0,0,0,1347
0,0,0,1347
0,0,0,1347
0,0,0,1347
0,0,0,1347
0,0,0,665
678,0.4699999988,0,2220
356,0.25,0,2151
2163,1.5,0,2383
980,0.6800000072,0,2221
0,0,0,2064
0,0,0,2063
244,0.1700000018,0,2111
0,0,0,2063
0,0,0,2063
0,0,0,2064
149,0.1000000015,0,2093
2945,2.039999962,0,2499
2090,1.450000048,1,2324
152,0.1099999994,0,2100
3761,2.599999905,0,2638
0,0,0,2063
1675,1.159999967,0,2351
0,0,0,2063
0,0,0,2064
2704,1.870000005,14,2411
3790,2.619999886,16,2505
1326,0.9200000167,10,2195
1786,1.24000001,0,2338
0,0,0,2063
2091,1.450000048,0,2383
1510,1.039999962,0,2229
0,0,0,2063
0,0,0,2063
0,0,0,2063
0,0,0,2063
0,0,0,1383
11875,8.340000153,42,2390
12024,8.5,43,2601
10690,7.5,32,2312
11034,8.029999733,27,2525
10100,7.090000153,41,2177
15112,11.39999962,28,2782
14131,10.06999969,48,2770
11548,8.529999733,31,2489
15112,10.67000008,48,2897
12453,8.739999771,104,3158
12954,9.329999924,52,2638
6001,4.210000038,0,2069
13481,10.27999973,37,2529
11369,8.010000229,44,2470
10119,7.190000057,55,2793
10159,7.130000114,19,2463
10140,7.119999886,6,2296
10245,7.190000057,21,2611
18387,12.90999985,13,2732
10538,7.400000095,25,2380
10379,7.289999962,36,2473
12183,8.739999771,72,2752
11768,8.289999962,36,2649
11895,8.350000381,55,2609
10227,7.179999828,24,2498
6708,4.710000038,20,1995
3292,2.309999943,0,1848
13379,9.390000343,35,2709
12798,8.979999542,57,2797
13272,9.319999695,58,2544
9117,6.409999847,16,1853
4414,2.74000001,3,1459
4993,3.099999905,0,1521
3335,2.069999933,0,1431
3821,2.369999886,0,1444
2547,1.580000043,0,1373
838,0.5199999809,0,1214
3325,2.059999943,0,1419
2424,1.5,0,1356
7222,4.480000019,0,1667
2467,1.529999971,0,1370
2915,1.809999943,0,1399
12357,7.710000038,0,1916
3490,2.160000086,0,1401
6017,3.730000019,0,1576
5933,3.680000067,0,1595
6088,3.769999981,0,1593
6375,3.950000048,0,1649
7604,4.710000038,0,1692
4729,2.930000067,0,1506
3609,2.279999971,0,1447
7018,4.349999905,0,1690
5992,3.720000029,0,1604
6564,4.070000172,0,1658
12167,7.539999962,0,1926
8198,5.079999924,0,1736
4193,2.599999905,0,1491
5528,3.450000048,0,1555
10685,6.619999886,0,1869
254,0.1599999964,0,1141
8580,5.320000172,0,1698
8891,5.510000229,0,1364
10725,7.489999771,13,2124
7275,4.900000095,0,2003
3973,2.680000067,0,1696
5205,3.50999999,0,1801
5057,3.410000086,0,1724
6198,4.179999828,0,1852
6559,4.420000076,0,1905
5997,4.039999962,0,1811
7192,4.849999905,0,1922
3404,2.289999962,1,1610
5583,3.75999999,0,1851
5079,3.420000076,0,1804
4165,2.809999943,0,1725
3588,2.420000076,3,1654
3409,2.299999952,0,1632
1715,1.159999967,0,1481
1532,1.029999971,0,1473
924,0.6200000048,0,1410
4571,3.079999924,0,1779
772,0.5199999809,0,1403
3634,2.450000048,5,1613
7443,5.019999981,20,1878
1201,0.8100000024,0,1426
5202,3.50999999,0,1780
4878,3.289999962,0,1742
7379,4.96999979,0,1972
5161,3.480000019,0,1821
3090,2.079999924,0,1630
6227,4.199999809,0,1899
6424,4.329999924,0,1903
2661,1.789999962,0,1125
10113,6.829999924,28,2344
10352,7.010000229,19,2038
10129,6.699999809,1,2010
10465,6.920000076,1,2133
22244,15.07999992,66,2670
5472,3.619999886,1,1882
8247,5.449999809,11,1944
6711,4.440000057,0,2346
10999,7.269999981,11,2198
10080,6.75,23,2048
7804,5.159999847,9,1946
16901,11.36999989,32,2629
9471,6.260000229,0,2187
9482,6.380000114,15,2095
5980,3.950000048,0,1861
11423,7.579999924,26,2194
5439,3.599999905,0,1854
42,0.02999999933,0,403
8796,5.909999847,2,1982
7618,5.119999886,0,2004
7910,5.320000172,0,1893
8482,5.699999809,0,2063
9685,6.650000095,47,2148
2524,1.700000048,0,1529
7762,5.239999771,1,1890
7948,5.369999886,0,1956
9202,6.300000191,22,2094
8859,5.980000019,2,1970
7286,4.900000095,46,2241
9317,6.349999905,28,2021
6873,4.679999828,46,1898
7373,4.949999809,0,1907
8242,5.539999962,2,1882
3516,2.359999895,46,1966
7913,5.409999847,28,1835
7365,4.949999809,20,1780
8452,5.679999828,5,1830
7399,4.96999979,7,1739
7525,5.059999943,0,1878
7412,4.980000019,1,1906
8278,5.559999943,0,2015
8314,5.610000134,13,1971
7063,4.75,0,1910
4940,3.380000114,75,1897
8168,5.539999962,46,2096
7726,5.190000057,0,1906
8275,5.559999943,0,1962
6440,4.329999924,0,1826
7566,5.110000134,0,1431
4747,3.24000001,0,1788
9715,6.630000114,16,2093
8844,6.03000021,6,2065
7451,5.079999924,0,1908
6905,4.730000019,0,1908
8199,5.880000114,11,1964
6798,4.639999866,20,2014
7711,5.260000229,0,1985
4880,3.329999924,15,1867
8857,6.070000172,18,2124
3843,2.619999886,0,1669
7396,5.070000172,20,1995
6731,4.590000153,14,1921
5995,4.090000153,0,2010
8283,5.789999962,22,2057
7904,5.420000076,24,2095
5512,3.75999999,0,1972
9135,6.230000019,0,2044
5250,3.579999924,17,1946
3077,2.099999905,0,1237
8856,5.980000019,44,1450
10035,6.710000038,31,1495
7641,5.110000134,5,1433
9010,6.059999943,15,1468
13459,9,31,1625
10415,6.96999979,11,1529
11663,7.800000191,4,1584
12414,8.779999733,19,1638
11658,7.829999924,2,1554
6093,4.079999924,0,1397
8911,5.960000038,33,1481
12058,8.069999695,0,1638
14112,10,30,1655
11177,8.479999542,50,1570
11388,7.619999886,7,1551
7193,5.039999962,0,1377
7114,4.880000114,15,1407
10645,7.75,36,1545
13238,9.199999809,43,1650
10414,7.070000172,41,1501
16520,11.05000019,24,1760
14335,9.590000153,47,1710
13559,9.43999958,14,1628
12312,8.579999924,14,1618
11677,8.279999733,29,1590
11550,7.730000019,0,1574
13585,9.090000153,9,1633
14687,10.07999992,8,1667
13072,8.779999733,1,1630
746,0.5,4,52
8539,6.119999886,4,3654
0,0,0,1981
108,0.07999999821,0,2011
1882,1.350000024,36,2951
1982,1.419999957,65,3051
16,0.009999999776,0,1990
62,0.03999999911,0,1995
0,0,0,1980
0,0,0,1980
0,0,0,1980
0,0,0,1980
0,0,0,1980
0,0,0,1980
0,0,0,1980
0,0,0,1980
0,0,0,1980
0,0,0,1980
0,0,0,1980
0,0,0,1980
0,0,0,1980
475,0.3400000036,0,2207
4496,3.220000029,0,2828
10252,7.349999905,13,3879
11728,8.430000305,38,3429
4369,3.130000114,0,2704
6132,4.400000095,0,2975
5862,4.199999809,0,3089
4556,3.269999981,3,2785
5546,3.980000019,0,2926
3689,2.650000095,2,2645
590,0.4199999869,0,1120
5394,4.03000021,0,2286
5974,4.46999979,0,2306
0,0,0,1776
3984,2.950000048,3,1527
7753,5.199999809,0,2115
8204,5.5,8,2135
10210,6.880000114,1,2302
5664,3.799999952,0,1985
4744,3.180000067,0,1884
29,0.01999999955,0,1464
2276,1.549999952,1,1632
8925,5.989999771,0,2200
8954,6.010000229,0,2220
3702,2.480000019,0,1792
4500,3.019999981,1,1886
4935,3.309999943,0,1945
4081,2.74000001,1,1880
9259,6.210000038,0,2314
9899,6.639999866,8,2236
10780,7.230000019,6,2324
10817,7.28000021,13,2367
7990,5.360000134,6,2175
8221,5.519999981,6,2092
1251,0.8399999738,0,1593
9261,6.239999771,0,2270
9648,6.46999979,8,2235
10429,7.019999981,8,2282
13658,9.489999771,27,2530
9524,6.420000076,6,2266
7937,5.329999924,3,2158
3672,2.460000038,0,1792
10378,6.960000038,2,2345
9487,6.369999886,3,2260
9129,6.130000114,3,2232
17,0.009999999776,0,257
10122,7.78000021,0,2955
10993,8.449999809,1,3092
8863,6.820000172,10,2998
8758,6.730000019,0,3066
6580,5.059999943,6,3073
4660,3.579999924,0,2572
11009,9.100000381,27,3274
10181,7.829999924,20,3015
10553,8.119999886,19,3083
10055,7.730000019,7,3069
12139,9.340000153,77,3544
13236,10.18000031,58,3306
10243,7.880000114,14,2885
12961,9.970000267,11,3288
9461,7.28000021,14,2929
11193,8.609999657,11,3074
10074,7.75,19,2969
9232,7.099999905,13,2979
12533,9.640000343,14,3283
10255,7.889999866,12,2926
10096,8.399999619,33,3147
12727,9.789999962,18,3290
12375,9.520000458,35,3162
9603,7.380000114,12,2899
13175,10.13000011,33,3425
22770,17.54000092,120,4022
17298,14.38000011,107,3934
10218,7.860000134,6,3013
10299,7.920000076,13,3061
10201,7.840000153,8,2954
3369,2.589999914,0,1623
3276,2.200000048,0,2113
2961,1.99000001,0,2095
3974,2.670000076,0,2194
7198,4.829999924,0,2496
3945,2.650000095,0,2180
2268,1.519999981,0,1933
6155,4.239999771,25,2248
2064,1.389999986,0,1954
2072,1.389999986,0,1974
3809,2.559999943,0,2150
6831,4.579999924,0,2432
4363,2.930000067,0,2149
5002,3.359999895,0,2247
3385,2.269999981,0,2070
6326,4.409999847,29,2291
7243,5.03000021,32,2361
4493,3.00999999,0,2203
4676,3.140000105,0,2196
6222,4.179999828,0,2363
5232,3.50999999,0,2246
